organism	ph
Chryseobacterium humi	7.3
Chryseobacterium hungaricum	7
Chryseobacterium indologenes	7.1
Chryseobacterium indoltheticum	7.1
Chryseobacterium jejuense	7.2
Chryseobacterium jeonii	7.2
Chryseobacterium joostei	7.1
Chryseobacterium koreense	7
Chryseobacterium luteum	7.3
Chryseobacterium meningosepticum	7
Chryseobacterium miricola	7
Chryseobacterium molle	7.3
Chryseobacterium oranimense	7
Chryseobacterium pallidum	7.3
Chryseobacterium palustre	7.3
Chryseobacterium piperi	7.3
Chryseobacterium piscicola	7
Chryseobacterium piscium	7.3
Chryseobacterium scophthalmum	7.1
Chryseobacterium shigense	7
Chryseobacterium soldanellicola	7.2
Chryseobacterium soli	7.2
Chryseobacterium solincola	7
Chryseobacterium sp.	7.19
Chryseobacterium taeanense	7.2
Chryseobacterium taichungense	7
Chryseobacterium treverense	7.2
Chryseobacterium ureilyticum	7.3
Chryseobacterium vrystaatense	7.3
Chryseobacterium wanjuense	7.2
Chryseobacterium zeae	7.3
Chryseoglobus frigidaquae	7.1
Chryseolinea serpens	7.2
Chryseomicrobium amylolyticum	7.3
Chryseomonas luteola	7.3
Chryseomonas polytricha	7.3
Chrysiogenes arsenatis	7.3
Chrysosporium keratinophilum	5.6
Chrysosporium luteum	5.6
Chrysosporium pannorum	5.6
Chthonomonas calidirosea	6.93
Ciceribacter lividus	7.3
Citreicella aestuarii	7.6
Citreicella marina	7.6
Citreicella thiooxidans	7.6
Citreimonas salinaria	7.6
Citricoccus alkalitolerans	7.2
Citricoccus muralis	7.1
Citricoccus nitrophenolicus	7.1
Citricoccus parietis	7.2
Citricoccus sp.	7.1
Citricoccus zhacaiensis	7.1
Citrobacter amalonaticus	7
Citrobacter braakii	7.15
Citrobacter diversus	7.2
Citrobacter farmeri	7
Citrobacter freundii	7.15
Citrobacter gillenii	7
Citrobacter koseri	7.2
Citrobacter murliniae	7
Citrobacter rodentium	7.3
Citrobacter sedlakii	7.3
Citrobacter sp.	7.14
Citrobacter werkmanii	7.3
Citrobacter youngae	7.3
Cladobotryum mycophilum	5.6
Cladobotryum semicirculare	5.6
Cladobotryum virescens	5.6
Cladosporium cladosporioides	5.6
Cladosporium herbarum	5.6
Clavibacter iranicum	7.1
Clavibacter iranicus	7.1
Clavibacter michiganense	7.21
Clavibacter michiganensis	7.21
Clavibacter rathayi	7.1
Clavibacter sp.	7.1
Clavibacter toxicus	7.2
Clavibacter tritici	7.1
Clavibacter xyli	6.6
Claviceps fusiformis	5.6
Claviceps purpurea	5.6
Clavispora lusitaniae	5.6
Climacocystis borealis	5.6
Climacodon pulcherrimus	5.6
Clitocybe expallens	7.2
Clitocybe lignatilis	5.6
Clitocybe nebularis	5.6
Clitocybe odora	5.6
Clitocybula dusenii	5.6
Clitopilus passeckerianus	5.6
Clitopilus prunulus	5.6
Cloacibacillus evryensis	7.2
Cloacibacillus porcorum	7.1
Cloacibacterium normanense	7
Clostridiisalibacter paucivorans	7
Clostridium absonum	7
Clostridium aceticum	7.6
Clostridium acetobutylicum	7.11
Clostridium acidisoli	5.5
Clostridium aciditolerans	7.2
Clostridium acidiurici	7.08
Clostridium acidurici	7.08
Clostridium aerotolerans	7
Clostridium akagii	5.5
Clostridium aldenense	7
Clostridium aldrichii	7.1
Clostridium algidicarnis	7
Clostridium algidixylanolyticum	7.1
Clostridium algoriphilum	6.7
Clostridium alkalicellulosi	7.63
Clostridium aminovalericum	7
Clostridium amygdalinum	7.2
Clostridium amylolyticum	7
Clostridium arbusti	7.2
Clostridium asparagiforme	7.2
Clostridium aurantibutyricum	7.1
Clostridium autoethanogenum	7.1
Clostridium barati	7
Clostridium baratii	7
Clostridium barkeri	7.6
Clostridium bartlettii	7.1
Clostridium beijerinckii	7.14
Clostridium bifermentans	7.05
Clostridium bolteae	7.2
Clostridium bornimense	7.2
Clostridium butyricum	7.1
Clostridium cadaveris	7
Clostridium caenicola	7.1
Clostridium caminithermale	7
Clostridium carnis	7
Clostridium cavendishii	7.2
Clostridium celatum	7
Clostridium celerecrescens	7.1
Clostridium cellobioparum	7.15
Clostridium cellulolyticum	7.1
Clostridium cellulovorans	7.18
Clostridium chartatabidum	6.75
Clostridium chromiireducens	7.2
Clostridium citroniae	7
Clostridium clariflavum	7.1
Clostridium clostridiiforme	7
Clostridium clostridioforme	7
Clostridium coccoides	7
Clostridium cochlearium	6.95
Clostridium cocleatum	7
Clostridium colicanis	7.2
Clostridium colinum	6.85
Clostridium collagenovorans	6.7
Clostridium cylindrosporum	7.08
Clostridium dakarense	7.2
Clostridium diolis	7.2
Clostridium disporicum	7
Clostridium drakei	7.13
Clostridium durum	7.15
Clostridium estertheticum	6.85
Clostridium fallax	7
Clostridium felsineum	7.1
Clostridium fervidum	7.3
Clostridium fervidus	7.3
Clostridium fimetarium	7.03
Clostridium formicaceticum	7.4
Clostridium formicoaceticum	7.4
Clostridium frigidicarnis	7.1
Clostridium gasigenes	7
Clostridium ghoni	7
Clostridium ghonii	7
Clostridium glycolicum	7.13
Clostridium glycyrrhizinilyticum	7.1
Clostridium grantii	6.6
Clostridium haemolyticum	7
Clostridium halophilum	7.2
Clostridium hastiforme	7
Clostridium hathewayi	7.2
Clostridium hiranonis	7.2
Clostridium homopropionicum	7.1
Clostridium hungatei	7.2
Clostridium hydrogeniformans	7.2
Clostridium hydroxybenzoicum	7
Clostridium hylemonae	7
Clostridium indolis	7
Clostridium innocuum	7.1
Clostridium intestinale	6.7
Clostridium intestinalis	6.7
Clostridium irregulare	7
Clostridium irregularis	7
Clostridium isatidis	7
Clostridium jejuense	6.7
Clostridium josui	7.1
Clostridium kluyveri	7.05
Clostridium lactatifermentans	7.2
Clostridium laramiense	6.85
Clostridium lavalense	7.2
Clostridium lentocellum	7.1
Clostridium lentoputrescens	6.95
Clostridium leptum	7.2
Clostridium litorale	7.13
Clostridium lituseburense	7.2
Clostridium ljungdahlii	5.9
Clostridium lortetii	6.5
Clostridium lundense	7.1
Clostridium magnum	7.07
Clostridium malenominatum	7
Clostridium mayombei	7
Clostridium methylpentosum	6.8
Clostridium neopropionicum	6.8
Clostridium nexile	7
Clostridium nitrophenolicum	7.2
Clostridium novyi	7
Clostridium oceanicum	7
Clostridium orbiscindens	6.9
Clostridium oroticum	7.5
Clostridium oxalicum	7.1
Clostridium paradoxum	10.1
Clostridium paraperfringens	7
Clostridium paraputrificum	7
Clostridium pascui	6.85
Clostridium pasteurianum	7.2
Clostridium peptidivorans	7.1
Clostridium perenne	7
Clostridium perfringens	6.99
Clostridium pfennigii	7.16
Clostridium phytofermentans	7.1
Clostridium polysaccharolyticum	7.15
Clostridium populeti	7.1
Clostridium puniceum	7
Clostridium purinilyticum	7.08
Clostridium purinolyticum	7.08
Clostridium putrefaciens	7
Clostridium quercicolum	7
Clostridium quinii	7.03
Clostridium ramosum	7
Clostridium rectum	7
Clostridium roseum	7.1
Clostridium saccharobutylicum	7.2
Clostridium saccharogumia	7.2
Clostridium saccharolyticum	7
Clostridium saccharoperbutylacetonicum	7.07
Clostridium sardiniense	7
Clostridium sardiniensis	7
Clostridium sartagoforme	7.1
Clostridium sartagoformum	7.1
Clostridium scatologenes	7
Clostridium schirmacherense	7
Clostridium scindens	6.85
Clostridium senegalense	7.2
Clostridium septicum	7.1
Clostridium sordellii	7
Clostridium sp.	7
Clostridium sphenoides	7
Clostridium spiroforme	7
Clostridium sporogenes	7
Clostridium sporosphaeroides	7
Clostridium stercorarium	7.07
Clostridium sticklandii	7
Clostridium straminisolvens	7.1
Clostridium subterminale	7
Clostridium sufflavum	7.2
Clostridium sulfidigenes	7.2
Clostridium symbiosum	7
Clostridium tepidiprofundi	6.88
Clostridium termitidis	7
Clostridium tertium	7
Clostridium tetani	7
Clostridium tetanomorphum	6.92
Clostridium thermaceticum	6.88
Clostridium thermautotrophicum	7.6
Clostridium thermoaceticum	6.88
Clostridium thermoalcaliphilum	10.1
Clostridium thermoautotrophicum	7.6
Clostridium thermobutyricum	7.3
Clostridium thermohydrosulfuricum	7.3
Clostridium thermolacticum	7.05
Clostridium thermopalmarium	7.1
Clostridium thermosaccharolyticum	7.12
Clostridium thermosuccinogenes	7
Clostridium thermosulfurogenes	6.78
Clostridium thiosulfatireducens	7.1
Clostridium tunisiense	7.1
Clostridium tyrobutyricum	7.02
Clostridium uliginosum	5.5
Clostridium uzonii	7.1
Clostridium villosum	7
Clostridium vincentii	6.5
Clostridium viride	7.7
Clostridium xylanolyticum	7.1
Clostridium xylanovorans	7.1
Cnuella takakiae	7.2
Cobetia marina	7.6
Cochliobolus miyabeanus	7.2
Cocleimonas flava	7.6
Coemansia formosensis	5.6
Cohaesibacter gelatinilyticus	7.6
Cohnella boryungensis	7.3
Cohnella cellulosilytica	7.3
Cohnella ginsengisoli	7.2
Cohnella hongkongensis	7.3
Cohnella laeviribosi	7.15
Cohnella luojiensis	7.2
Cohnella nanjingensis	7.2
Cohnella panacarvi	7.2
Cohnella phaseoli	7.3
Cohnella plantaginis	7.3
Cohnella rhizosphaerae	7.3
Cohnella soli	7.2
Cohnella suwonensis	7.2
Cohnella thailandensis	7.3
Cohnella thermotolerans	7.3
Cohnella xylanilytica	7.3
Cohnella yongneupensis	7.2
Colletotrichum fuscum	5.6
Colletotrichum gloeosporioides	5.6
Collimonas arenae	7
Collimonas fungivorans	6.5
Collimonas pratensis	7
Collimonas sp.	7.2
Collinsella aerofaciens	7.1
Collinsella intestinalis	7.2
Collinsella massiliensis	7
Collinsella stercoris	7.2
Collinsella tanakaei	7.2
Collybia confluens	5.6
Collybia dryophila	5.6
Collybia peronata	5.6
Collybia radicata	5.6
Colpoma quercinum	5.6
Colwellia aestuarii	7.6
Colwellia chukchiensis	7.6
Colwellia maris	7.5
Colwellia psychrerythraea	7.6
Colwellia psychroerythrus	7.6
Colwellia sp.	7.6
Comamonas acidovorans	7.05
Comamonas aquatica	7
Comamonas badia	7.15
Comamonas composti	7.3
Comamonas denitrificans	7.3
Comamonas kerstersii	7.3
Comamonas koreensis	7
Comamonas nitrativorans	7
Comamonas odontotermitis	7.3
Comamonas sp.	7
Comamonas terrae	7
Comamonas terrigena	7.3
Comamonas testosteroni	7.12
Comamonas thiooxidans	7.3
Comamonas thiooxydans	7.3
Comamonas zonglianii	7
Compostimonas suwonensis	7.2
Conexibacter arvalis	7.1
Conexibacter woesei	7.1
Congregibacter litoralis	6.87
Coniochaeta subcorticalis	5.6
Coniophora puteana	5.6
Coprinus comatus	5.6
Coprinus disseminatus	5.6
Coprinus erythrocephalus	5.6
Coprinus macrocephalus	5.6
Coprinus micaceus	5.6
Coprinus radians	5.6
Coprobacillus cateniformis	7
Coprobacter fastidiosus	7
Coprothermobacter platensis	7
Coprothermobacter proteolyticus	7
Coraliomargarita akajimensis	7.6
Corallococcus coralloides	7.2
Corallococcus exiguus	7.2
Cordana pauciseptata	5.6
Cordyceps militaris	5.6
Coriobacterium glomerans	7.2
Coriolopsis floccosa	5.6
Corticium rolfsii	5.6
Corticium sasakii	5.6
Corynebacterium accolens	7.3
Corynebacterium afermentans	7.3
Corynebacterium ammoniagenes	7.3
Corynebacterium amycolatum	7.3
Corynebacterium appendicis	7.3
Corynebacterium aquaticum	7.3
Corynebacterium aquatimens	7.3
Corynebacterium aquilae	7.3
Corynebacterium argentoratense	7.2
Corynebacterium aurimucosum	7.3
Corynebacterium auris	7.3
Corynebacterium barkeri	7.3
Corynebacterium betae	7.23
Corynebacterium bovis	7.3
Corynebacterium callunae	7.3
Corynebacterium canis	7.3
Corynebacterium capitovis	7.3
Corynebacterium casei	7.3
Corynebacterium ciconiae	7.3
Corynebacterium confusum	7.3
Corynebacterium coyleae	7.3
Corynebacterium cystitidis	7.1
Corynebacterium deserti	7.3
Corynebacterium diphtheriae	7.3
Corynebacterium doosanense	7.3
Corynebacterium durum	7.3
Corynebacterium efficiens	7.3
Corynebacterium epidermidicanis	7.3
Corynebacterium falsenii	7.3
Corynebacterium fascians	7.29
Corynebacterium felinum	7.3
Corynebacterium flaccumfaciens	7.23
Corynebacterium flavescens	7.3
Corynebacterium frankenforstense	7.3
Corynebacterium freiburgense	7.3
Corynebacterium freneyi	7.3
Corynebacterium glaucum	7.1
Corynebacterium glucuronolyticum	7.3
Corynebacterium glutamicum	7.27
Corynebacterium haemolyticum	7.2
Corynebacterium halotolerans	7.3
Corynebacterium hansenii	7.3
Corynebacterium hoagii	7.26
Corynebacterium humireducens	7.3
Corynebacterium imitans	7.3
Corynebacterium insidiosum	7.3
Corynebacterium iranicum	7.1
Corynebacterium jeikeium	7.1
Corynebacterium kutscheri	7.3
Corynebacterium lactis	7.3
Corynebacterium laevaniformans	7.3
Corynebacterium lilium	7.27
Corynebacterium lipophiloflavum	7.3
Corynebacterium lubricantis	7.3
Corynebacterium macginleyi	7.3
Corynebacterium marinum	7.3
Corynebacterium maris	7.6
Corynebacterium massiliense	7.3
Corynebacterium matruchotii	7.1
Corynebacterium mediolanum	7.15
Corynebacterium michiganense	7.21
Corynebacterium mooreparkense	7.3
Corynebacterium mucifaciens	7.3
Corynebacterium mustelae	7.3
Corynebacterium mycetoides	7.2
Corynebacterium nebraskense	7.23
Corynebacterium nigricans	7.3
Corynebacterium oortii	7.23
Corynebacterium paurometabolum	7.4
Corynebacterium phocae	7.3
Corynebacterium pilbarense	7.3
Corynebacterium pilosum	7.1
Corynebacterium propinquum	7.3
Corynebacterium pseudodiphtheriticum	7.55
Corynebacterium pyogenes	7.2
Corynebacterium pyruviciproducens	7.3
Corynebacterium rathayi	7.1
Corynebacterium renale	7.3
Corynebacterium resistens	7.3
Corynebacterium riegelii	7.3
Corynebacterium rubrum	7.3
Corynebacterium seminale	7.3
Corynebacterium sepedonicum	7.17
Corynebacterium simulans	7.3
Corynebacterium singulare	7.3
Corynebacterium sp.	7.25
Corynebacterium sphenisci	7.3
Corynebacterium sputi	7.3
Corynebacterium stationis	7.3
Corynebacterium striatum	7.3
Corynebacterium suicordis	7.3
Corynebacterium suis	7
Corynebacterium terpenotabidum	7.3
Corynebacterium thomssenii	7.3
Corynebacterium timonense	7.3
Corynebacterium tritici	7.1
Corynebacterium tuberculostearicum	7.3
Corynebacterium tuscaniae	7.3
Corynebacterium tuscaniense	7.3
Corynebacterium ulcerans	7.3
Corynebacterium ulceribovis	7.3
Corynebacterium urealyticum	7.1
Corynebacterium ureicelerivorans	7.3
Corynebacterium uterequi	7.3
Corynebacterium variabile	7.3
Corynebacterium variabilis	7.3
Corynebacterium vitaeruminis	7.3
Corynebacterium vitarumen	7.3
Corynebacterium xerosis	7.24
Corynespora cassiicola	7.2
Cosenzaea myxofaciens	7.3
Couchioplanes caeruleus	7.2
Crabtreella saccharophila	7
Crenotalea thermophila	7.2
Cribrihabitans marinus	7.6
Cronobacter condimenti	7
Cronobacter dublinensis	7.3
Cronobacter helveticus	7.3
Cronobacter malonaticus	7.3
Cronobacter muytjensii	7.3
Cronobacter pulveris	7.15
Cronobacter sakazakii	7
Cronobacter turicensis	7.3
Cronobacter zurichensis	7.3
Crossiella cryophila	7.2
Crossiella equi	7.3
Crucibulum laeve	5.6
Cryobacterium arcticum	7.1
Cryobacterium flavum	7
Cryobacterium levicorallinum	7
Cryobacterium luteum	7
Cryobacterium mesophilum	7.1
Cryobacterium psychrophilum	7.2
Cryobacterium psychrotolerans	7.2
Cryobacterium roopkundense	7.1
Cryptanaerobacter phenolicus	7
Cryptobacterium curtum	7
Cryptococcus laurentii	5.6
Cryptococcus podzolicus	5.6
Cryptococcus stepposus	5.6
Cryptococcus tephrensis	5.6
Cryptococcus terricola	5.6
Cryptococcus victoriae	5.6
Cryptosporangium arvum	7.2
Cryptosporangium aurantiacum	7.13
Cryptosporangium japonicum	7.2
Cryptosporangium minutisporangium	7.2
Cucumibacter marinus	7.6
Cunninghamella homothallica	5.6
Cupriavidus basilensis	7.15
Cupriavidus campinensis	7.3
Cupriavidus gilardii	7.3
Cupriavidus metallidurans	6.9
Cupriavidus necator	6.89
Cupriavidus numazuensis	7
Cupriavidus oxalaticus	7
Cupriavidus pampae	7
Cupriavidus pauculus	7.3
Cupriavidus pinatubonensis	7
Cupriavidus respiraculi	7.3
Cupriavidus sp.	7.14
Cupriavidus taiwanensis	7.2
Curtobacterium albidum	7.3
Curtobacterium ammoniigenes	7.1
Curtobacterium citreum	7.3
Curtobacterium flaccumfaciens	7.23
Curtobacterium ginsengisoli	7.2
Curtobacterium herbarum	7.1
Curtobacterium luteum	7.2
Curtobacterium plantarum	7.1
Curtobacterium psychrophilum	7.2
Curtobacterium pusillum	7.3
Curtobacterium saperdae	7.3
Curtobacterium sp.	7.1
Curtobacterium testaceum	7.3
Curvibacter delicatus	6.87
Curvularia fallax	7.2
Curvularia inaequalis	7.2
Cyathus africanus	5.6
Cyathus stercoreus	5.6
Cyathus striatus	5.6
Cyclobacterium marinum	7.6
Cyclobacterium marinus	7.6
Cymatoderma dendriticum	5.6
Cyphellopsis anomala	5.6
Cystobacter armeniaca	7.2
Cystobacter badius	7.2
Cystobacter disciformis	7.2
Cystobacter ferrugineus	7.2
Cystobacter fuscus	7.21
Cystobacter gracilis	7.2
Cystobacter miniatus	7.2
Cystobacter minus	7.2
Cystobacter sp.	7.2
Cystobacter velatus	7.2
Cystobacter violaceus	7.2
Cystobasidiopsis nirenbergiae	5.6
Cytophaga aprica	7.2
Cytophaga aquatilis	7.2
Cytophaga arvensicola	7.2
Cytophaga aurantiaca	7.2
Cytophaga columnaris	7.23
Cytophaga diffluens	7.2
Cytophaga fermentans	7.5
Cytophaga flevensis	7.2
Cytophaga heparina	7
Cytophaga hutchinsonii	7.2
Cytophaga johnsonae	7.2
Cytophaga latercula	7.4
Cytophaga lytica	7.2
Cytophaga marina	7.6
Cytophaga marinoflava	7.4
Cytophaga pectinovora	7.2
Cytophaga psychrophila	7.2
Cytophaga saccharophila	7.2
Cytophaga sp.	7.2
Cytophaga succinicans	7.2
Cytophaga uliginosa	7.3
Cytophaga xylanolytica	7.1
Cytospora intermedia	5.6
Dacrymyces deliquescens	5.6
Dacrymyces stillatus	5.6
Dacryopinax spathularia	5.6
Dactylosporangium aurantiacum	7.2
Dactylosporangium darangshiense	7.2
Dactylosporangium fulvum	7.2
Dactylosporangium luridum	7.2
Dactylosporangium luteum	7.2
Dactylosporangium maewongense	7.2
Dactylosporangium matsuzakiense	7.2
Dactylosporangium roseum	7.2
Dactylosporangium salmoneum	7.2
Dactylosporangium siamense	7.2
Dactylosporangium thailandense	7.2
Dactylosporangium tropicum	7.2
Dactylosporangium variesporum	7.2
Dactylosporangium vinaceum	7.2
Daedalea quercina	5.6
Daedaleopsis confragosa	5.6
Daeguia caeni	7.3
Dasania marina	7.6
Datronia mollis	5.6
Dechloromonas agitata	7.23
Dechloromonas hortensis	7.44
Dechlorosoma suillum	7.19
Deefgea rivuli	7.2
Deferribacter abyssi	7
Deferribacter autotrophicus	6.88
Deferribacter desulfuricans	7
Deferribacter thermophilus	7
Deferrisoma camini	6.83
Defluvibacter lusatiae	7.28
Defluvibacter lusatiensis	7.28
Defluviitalea saccharophila	7.2
Defluviitoga tunisiensis	7
Dehalobacter restrictus	7.1
Deinobacter grandis	7.2
Deinobacterium chartae	7.2
Deinococcus aerius	7
Deinococcus aerolatus	7.2
Deinococcus aerophilus	7.2
Deinococcus aetherius	7
Deinococcus apachensis	7.1
Deinococcus aquaticus	7.2
Deinococcus aquatilis	7.2
Deinococcus caeni	7.2
Deinococcus cellulosilyticus	7.2
Deinococcus daejeonensis	7.2
Deinococcus deserti	7.1
Deinococcus erythromyxa	7.13
Deinococcus ficus	7.2
Deinococcus frigens	7.3
Deinococcus geothermalis	7.2
Deinococcus gobiensis	7.1
Deinococcus grandis	7.2
Deinococcus hohokamensis	7.2
Deinococcus hopiensis	7
Deinococcus humi	7.2
Deinococcus indicus	7.1
Deinococcus maricopensis	7.2
Deinococcus marmoris	7.3
Deinococcus misasensis	7.2
Deinococcus mumbaiensis	7.2
Deinococcus murrayi	7.2
Deinococcus peraridilitoris	7.2
Deinococcus phoenicis	7.2
Deinococcus pimensis	7.2
Deinococcus piscis	7.1
Deinococcus proteolyticus	7.3
Deinococcus radiodurans	7.15
Deinococcus radiophilus	7.1
Deinococcus radiopugnans	7.1
Deinococcus reticulitermitis	7.2
Deinococcus roseus	7.1
Deinococcus saxicola	7.3
Deinococcus sonorensis	7.1
Deinococcus sp.	7.3
Deinococcus wulumuqiensis	7.2
Deinococcus xibeiensis	7
Deinococcus xinjiangensis	7.1
Deinococcus yavapaiensis	7
Deinococcus yunweiensis	7.2
Deleya aesta	7.6
Deleya aquamarina	7.6
Deleya cupida	7.6
Deleya halophila	7.2
Deleya marina	7.6
Deleya pacifica	7.6
Deleya salina	7.5
Deleya venusta	7.4
Delftia acidovorans	7.05
Delftia lacustris	7
Delftia litopenaei	7
Delftia sp.	7.15
Delftia tsuruhatensis	7.3
Demequina aestuarii	7.6
Demequina aurantiaca	7.6
Demequina flava	7.6
Demequina globuliformis	7
Demequina lutea	7.2
Demequina oxidasica	7.6
Demequina salsinemoris	7.1
Demequina sediminicola	7.6
Demetria terragena	7.2
Dendrosporobacter quercicolus	7
Denitratisoma oestradiolicum	7.2
Denitrobacterium detoxificans	7.2
Denitrovibrio acetiphilus	7.1
Dermabacter hominis	7.1
Dermacoccus abyssi	7.1
Dermacoccus barathri	7.1
Dermacoccus nishinomiyaensis	7.3
Dermacoccus profundi	7.1
Dermacoccus sp.	7.1
Dermatophilus chelonae	7.3
Dermatophilus congolensis	7.28
Derxia gummosa	6.88
Desemzia incerta	7.3
Desmospora activa	7.3
Desulfacinum hydrothermale	7.15
Desulfacinum infernum	7
Desulfacinum subterraneum	7
Desulfarculus baarsii	7.1
Desulfatibacillum aliphaticivorans	7.08
Desulfatibacillum alkenivorans	7.08
Desulfatiferula berrensis	7.14
Desulfatiferula olefinivorans	7.14
Desulfatiglans anilini	7.14
Desulfatiglans parachlorophenolica	7.14
Desulfatirhabdium butyrativorans	7.03
Desulfatitalea tepidiphila	7
Desulfitibacter alkalitolerans	8.3
Desulfitispora alkaliphila	8
Desulfitobacterium aromaticivorans	7
Desulfitobacterium chlororespirans	7
Desulfitobacterium dehalogenans	7.12
Desulfitobacterium frappieri	7.1
Desulfitobacterium hafniense	7.1
Desulfitobacterium metallireducens	7.02
Desulfitobacterium sp.	7.18
Desulfobacca acetoxidans	7.1
Desulfobacter curvatus	7
Desulfobacter halotolerans	7
Desulfobacter hydrogenophilus	7
Desulfobacter latus	7
Desulfobacter postgatei	7.14
Desulfobacter psychrotolerans	7
Desulfobacter sp.	7
Desulfobacter vibrioformis	7
Desulfobacterium anilini	7.14
Desulfobacterium autotrophicum	7
Desulfobacterium catecholicum	7
Desulfobacterium cetonicum	7.15
Desulfobacterium corrodens	7.12
Desulfobacterium indolicum	7.08
Desulfobacterium macestii	7.8
Desulfobacterium niacini	7
Desulfobacterium oleovorans	7.07
Desulfobacterium phenolicum	7.08
Desulfobacterium vacuolatum	7
Desulfobacterium zeppelinii	7
Desulfobacula phenolica	7.08
Desulfobacula toluolica	7.08
Desulfobaculum xiamenense	7.8
Desulfobaculum xiamenensis	7.8
Desulfobotulus alkaliphilus	8
Desulfobotulus sapovorans	7.1
Desulfobulbus elongatus	7.1
Desulfobulbus japonicus	7
Desulfobulbus marinus	7
Desulfobulbus mediterraneus	7
Desulfobulbus propionicus	7.08
Desulfobulbus rhabdoformis	7
Desulfobulbus sp.	7.09
Desulfocapsa sulfexigens	7
Desulfocapsa thiozymogenes	7.25
Desulfocarbo indianensis	6.93
Desulfocella halophila	6
Desulfococcus biacutus	7.1
Desulfococcus multivorans	7.14
Desulfoconvexum algidum	7
Desulfocurvus thunnarius	7.03
Desulfocurvus vexinensis	7.03
Desulfofaba fastidiosa	7.1
Desulfofaba gelida	7
Desulfofaba hansenii	7.07
Desulfofrigus fragile	7
Desulfofrigus oceanense	7
Desulfofustis glycolicus	6.75
Desulfoglaeba alkanexedens	6.4
Desulfohalobium retbaense	7
Desulfohalobium utahense	7.03
Desulfoluna butyratoxydans	6.75
Desulfoluna spongiiphila	6.4
Desulfomicrobium aestuarii	7.03
Desulfomicrobium apsheronum	7.8
Desulfomicrobium baculatum	7.8
Desulfomicrobium baculatus	7.8
Desulfomicrobium escambiense	7.8
Desulfomicrobium macestii	7.8
Desulfomicrobium norvegicum	7.03
Desulfomicrobium orale	7.8
Desulfomicrobium salsuginis	7.03
Desulfomicrobium sp.	7.15
Desulfomicrobium thermophilum	7.14
Desulfomonas pigra	7.03
Desulfomonile tiedjei	6.85
Desulfomusa hansenii	7.07
Desulfonatronospira delicata	8
Desulfonatronospira thiodismutans	8
Desulfonatronovibrio halophilus	7.03
Desulfonatronovibrio hydrogenovorans	9.6
Desulfonatronovibrio magnus	8
Desulfonatronovibrio thiodismutans	8
Desulfonatronum alkalitolerans	7
Desulfonatronum buryatense	8.25
Desulfonatronum cooperativum	8.25
Desulfonatronum lacustre	8.25
Desulfonatronum thioautotrophicum	8
Desulfonatronum thiodismutans	8.25
Desulfonatronum thiosulfatophilum	8
Desulfonauticus autotrophicus	7
Desulfonauticus submarinus	7
Desulfonema ishimotonii	7
Desulfonema magnum	7
Desulfonispora thiosulfatigenes	7.28
Desulfopila aestuarii	7.25
Desulfopila inferna	6.4
Desulforegula conservatrix	7.1
Desulforhabdus amnigena	7.18
Desulforhabdus amnigenus	7.18
Desulforhopalus singaporensis	7
Desulforhopalus vacuolatus	7
Desulfosalsimonas propionicica	7.03
Desulfosarcina cetonica	7.15
Desulfosarcina cetonicum	7.15
Desulfosarcina ovata	7.08
Desulfosarcina variabilis	7
Desulfosoma caldarium	7
Desulfosoma profundi	7
Desulfospira joergensenii	7.08
Desulfosporosinus acidiphilus	6.6
Desulfosporosinus auripigmenti	7.8
Desulfosporosinus burensis	6.93
Desulfosporosinus hippei	7.03
Desulfosporosinus lacus	7.03
Desulfosporosinus meridiei	6.93
Desulfosporosinus orientis	7.8
Desulfosporosinus youngiae	7.03
Desulfotalea arctica	7
Desulfotalea psychrophila	7
Desulfothermus naphthae	7.12
Desulfothermus okinawensis	6.7
Desulfotignum balticum	7.07
Desulfotignum phosphitoxidans	7.1
Desulfotignum toluenicum	7
Desulfotomaculum acetoxidans	7.03
Desulfotomaculum aeronauticum	6.93
Desulfotomaculum alcoholivorax	6.93
Desulfotomaculum alkaliphilum	7.92
Desulfotomaculum arcticum	6.4
Desulfotomaculum auripigmentum	7.8
Desulfotomaculum australicum	7.8
Desulfotomaculum carboxydivorans	7.1
Desulfotomaculum defluvii	7.03
Desulfotomaculum geothermicum	7
Desulfotomaculum gibsoniae	7.03
Desulfotomaculum guttoideum	7.5
Desulfotomaculum halophilum	6
Desulfotomaculum hydrothermale	7.03
Desulfotomaculum intricatum	7.03
Desulfotomaculum kuznetsovii	7.8
Desulfotomaculum luciae	7.8
Desulfotomaculum nigrificans	7.8
Desulfotomaculum orientis	7.8
Desulfotomaculum peckii	7
Desulfotomaculum putei	7.8
Desulfotomaculum ruminis	7.8
Desulfotomaculum sapomandens	7.18
Desulfotomaculum solfataricum	7.14
Desulfotomaculum sp.	7.3
Desulfotomaculum thermoacetoxidans	7.8
Desulfotomaculum thermobenzoicum	7.22
Desulfotomaculum thermocisternum	7
Desulfotomaculum thermosapovorans	7.05
Desulfotomaculum thermosubterraneum	7.03
Desulfovermiculus halophilus	7.03
Desulfovibrio aerotolerans	7.03
Desulfovibrio aespoeensis	7.14
Desulfovibrio africanus	7.8
Desulfovibrio alaskensis	7
Desulfovibrio alcoholivorans	7.28
Desulfovibrio alcoholovorans	7.28
Desulfovibrio alkalitolerans	7.92
Desulfovibrio aminophilus	7.8
Desulfovibrio arcticus	7.8
Desulfovibrio baarsii	7.1
